cake,ingredient,measure,quantity
Angel,almond essence,teaspoon,0.25
Angel,cream of tartar,teaspoon,1.25
Angel,egg white,one,10
Angel,sifted flour,cup,1
Angel,granulated sugar,cup,1.5
Angel,salt,teaspoon,0.25
Angel,vanilla extract,teaspoon,1
Babas au Rhum,butter,cup,0.25
Babas au Rhum,dried currants,tablespoon,3
Babas au Rhum,eggs,one,1
Babas au Rhum,egg yolk,one,2
Babas au Rhum,sifted flour,cup,1.75
Babas au Rhum,lemon rind,teaspoon,0.5
Babas au Rhum,milk,cup,0.25
Babas au Rhum,rum,ounce,2
Babas au Rhum,granulated sugar,cup,0.25
Babas au Rhum,water,cup,0.25
Babas au Rhum,yeast,ounce,0.6
Sweet Chocolate,butter,cup,1
Sweet Chocolate,chocolate,ounce,4
Sweet Chocolate,eggs,one,4
Sweet Chocolate,sifted flour,cup,2.5
Sweet Chocolate,milk,cup,1
Sweet Chocolate,soda,teaspoon,1
Sweet Chocolate,granulated sugar,cup,2
Sweet Chocolate,salt,teaspoon,0.5
Sweet Chocolate,vanilla extract,teaspoon,1
Sweet Chocolate,water,cup,0.5
Buche de Noel,eggs,one,4
Buche de Noel,sifted flour,cup,1
Buche de Noel,granulated sugar,cup,1.3
Buche de Noel,salt,teaspoon,0.5
Buche de Noel,vanilla extract,teaspoon,1
Cheesecake,butter,cup,0.25
Cheesecake,cottage cheese,pound,1.5
Cheesecake,eggs,one,6
Cheesecake,sifted flour,cup,0.25
Cheesecake,lemon juice,tablespoon,1
Cheesecake,lemon rind,teaspoon,1
Cheesecake,sour cream,cup,1
Cheesecake,granulated sugar,cup,1
Cheesecake,salt,teaspoon,0.25
Cheesecake,zwiebach,ounce,6
Rum Cheesecake,cottage cheese,pound,1.5
Rum Cheesecake,eggs,one,2
Rum Cheesecake,gelatin,tablespoon,2
Rum Cheesecake,heavy cream,cup,1
Rum Cheesecake,lemon juice,tablespoon,1
Rum Cheesecake,lemon rind,teaspoon,1
Rum Cheesecake,milk,cup,1
Rum Cheesecake,rum,ounce,1
Rum Cheesecake,granulated sugar,cup,1
Rum Cheesecake,salt,teaspoon,0.25
Blender Cheesecake,cottage cheese,pound,0.5
Blender Cheesecake,crushed ice,cup,1
Blender Cheesecake,crumbs,cup,0.3
Blender Cheesecake,egg yolk,one,2
Blender Cheesecake,gelatin,tablespoon,1
Blender Cheesecake,lemon juice,tablespoon,1
Blender Cheesecake,lemon rind,teaspoon,1
Blender Cheesecake,sour cream,cup,1
Blender Cheesecake,water,cup,0.5
One Bowl Chocolate,baking powder,teaspoon,2
One Bowl Chocolate,cocoa,tablespoon,10
One Bowl Chocolate,eggs,one,2
One Bowl Chocolate,sifted flour,cup,2
One Bowl Chocolate,milk,cup,0.7
One Bowl Chocolate,soda,teaspoon,0.5
One Bowl Chocolate,shortening,tablespoon,10
One Bowl Chocolate,granulated sugar,cup,1.5
One Bowl Chocolate,salt,teaspoon,0.25
One Bowl Chocolate,vanilla extract,teaspoon,1
One Bowl Chocolate,water,cup,0.5
Red Devil's Food,cocoa,tablespoon,0.3
Red Devil's Food,eggs,one,2
Red Devil's Food,sifted flour,cup,1.75
Red Devil's Food,milk,cup,1
Red Devil's Food,soda,teaspoon,1.25
Red Devil's Food,shortening,tablespoon,0.5
Red Devil's Food,granulated sugar,cup,1.5
Red Devil's Food,salt,teaspoon,1
Red Devil's Food,vanilla extract,teaspoon,1
Sour Cream Fudge,chocolate,ounce,3
Sour Cream Fudge,eggs,one,2
Sour Cream Fudge,sifted flour,cup,2
Sour Cream Fudge,soda,teaspoon,1
Sour Cream Fudge,sour cream,cup,1
Sour Cream Fudge,shortening,tablespoon,0.3
Sour Cream Fudge,granulated sugar,cup,1.5
Sour Cream Fudge,salt,teaspoon,1
Sour Cream Fudge,vanilla extract,teaspoon,1
Sour Cream Fudge,water,cup,0.25
Hungarian Cream,almond essence,teaspoon,1.5
Hungarian Cream,baking powder,teaspoon,3
Hungarian Cream,eggs,one,3
Hungarian Cream,sifted flour,cup,3
Hungarian Cream,heavy cream,cup,2
Hungarian Cream,granulated sugar,cup,1.5
Hungarian Cream,salt,teaspoon,1
Hungarian Cream,vanilla extract,teaspoon,2
Crumb and Nut,baking powder,teaspoon,3
Crumb and Nut,crumbs,cup,3
Crumb and Nut,eggs,one,4
Crumb and Nut,milk,cup,1
Crumb and Nut,nuts,cup,1
Crumb and Nut,shortening,tablespoon,1
Crumb and Nut,granulated sugar,cup,1
Crumb and Nut,vanilla extract,teaspoon,2
Spiced Pound,butter,cup,1
Spiced Pound,eggs,one,5
Spiced Pound,sifted flour,cup,2
Spiced Pound,nutmeg,teaspoon,1.5
Spiced Pound,granulated sugar,cup,1.7
Spiced Pound,salt,teaspoon,0.5
Strawberry Roll,baking powder,teaspoon,0.75
